paper_id,title,authors,year,category,abstract,citations,pages
arxiv_2000,Attention Is All You Need,Vaswani et al.,2017,cs.AI,"We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train.",400,18
arxiv_2001,BERT: Pre-training of Deep Bidirectional Transformers,Devlin et al.,2018,cs.CL,"We introduce BERT, Bidirectional Encoder Representations from Transformers. Unlike recent language representation models, BERT is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers.",112,15
arxiv_2002,GPT-3: Language Models are Few-Shot Learners,Brown et al.,2020,cs.CL,"We demonstrate that scaling language models greatly improves task-agnostic few-shot performance. GPT-3, an autoregressive language model with 175 billion parameters, achieves strong performance on many NLP datasets, including translation, question-answering, and cloze tasks.",16,18
arxiv_2003,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Lewis et al.,2020,cs.CL,"We explore a general-purpose fine-tuning recipe for retrieval-augmented generation (RAG) models. RAG models combine pre-trained parametric and non-parametric memory for language generation, achieving state of the art results on knowledge-intensive NLP tasks.",280,18
arxiv_2004,LangChain: Building Applications with LLMs,Chase et al.,2022,cs.AI,"LangChain is a framework for developing applications powered by language models. It enables applications that are data-aware, connecting language models to other sources of data, and agentic, allowing language models to interact with their environment.",259,10
arxiv_2005,Constitutional AI: Harmlessness from AI Feedback,Bai et al.,2022,cs.AI,"We propose Constitutional AI, a method for training a harmless AI assistant without human labels identifying harmful outputs. The method uses a set of principles combined with AI feedback to guide training toward helpful, harmless responses.",1119,9
arxiv_2006,Chain-of-Thought Prompting Elicits Reasoning,Wei et al.,2022,cs.AI,"We explore how generating a chain of thought — a series of intermediate reasoning steps — significantly improves the ability of large language models to perform complex reasoning. Chain-of-thought prompting improves performance on arithmetic, commonsense, and symbolic reasoning tasks.",236,9
arxiv_2007,InstructGPT: Training language models to follow instructions,Ouyang et al.,2022,cs.LG,"Making language models bigger does not inherently make them better at following a user's intent. We train GPT-3 to follow instructions using human feedback, resulting in InstructGPT which is better at following instructions than GPT-3 despite having 100x fewer parameters.",187,8
arxiv_2008,LLaMA: Open and Efficient Foundation Language Models,Touvron et al.,2023,cs.CL,"We introduce LLaMA, a collection of foundation language models ranging from 7B to 65B parameters. We train our models on trillions of tokens, and show that it is possible to train state-of-the-art models using publicly available datasets exclusively.",240,19
arxiv_2009,Toolformer: Language Models Can Teach Themselves to Use Tools,Schick et al.,2023,cs.CL,"We introduce Toolformer, a model trained to decide which APIs to call, when to call them, what arguments to pass, and how to best incorporate the results into the future token prediction. This is done in a self-supervised way, requiring nothing more than a handful of demonstrations for each API.",3,24
arxiv_2010,Sparks of Artificial General Intelligence: Early experiments with GPT-4,Bubeck et al.,2023,cs.AI,"We present early experiments with GPT-4, demonstrating it to be a significant leap forward in AI capabilities. Across a variety of domains including mathematics, coding, vision, medicine, law, and psychology, GPT-4 exhibits human-level performance.",1,23
arxiv_2011,Vector Databases for AI Applications: A Comprehensive Survey,Han et al.,2023,cs.DB,"Vector databases have become essential infrastructure for AI applications, enabling efficient similarity search over high-dimensional embedding spaces. This survey covers architectures, indexing methods including HNSW and IVF, and deployment patterns for production RAG systems.",496,22
arxiv_2012,"Self-RAG: Learning to Retrieve, Generate, and Critique",Asai et al.,2023,cs.CL,"We introduce Self-RAG, a framework that trains a language model to reflect on its own generations through special reflection tokens. The model learns to retrieve passages on demand, generate text informed by retrieved passages, and critique its own output.",2783,19
arxiv_2013,ReAct: Synergizing Reasoning and Acting in Language Models,Yao et al.,2022,cs.AI,"We present ReAct, a paradigm to synergize reasoning and acting in language models. ReAct prompts LLMs to generate both verbal reasoning traces and text actions in an interleaved manner, allowing the model to dynamically create, maintain, and adjust action plans.",94,10
